OverallQual,GrLivArea,GarageCars,SalePrice
7,1710,2,208500
6,1262,2,181500
7,1786,2,223500
7,1717,3,140000
8,2198,3,250000
5,1362,2,143000
8,1694,2,307000
7,2090,2,200000
7,1774,2,129900
5,1077,1,118000
5,1040,1,129500
9,2324,3,345000
5,912,1,144000
7,1494,3,279500
6,1253,1,157000
7,854,2,132000
6,1004,2,149000
4,1296,2,90000
5,1114,2,159000
5,1339,1,139000
8,2376,3,325300
7,1108,1,139400
8,1795,2,230000
5,1060,2,129900
5,1060,1,154000
8,1600,3,256300
5,900,2,134800
8,1704,3,306000
5,1600,1,207500
4,520,1,68500
4,1317,1,40000
5,1228,1,149350
8,1234,2,179900
5,1700,2,165500
9,1561,2,277500
8,2452,3,309000
5,1097,2,145000
5,1297,2,153000
5,1057,1,109000
4,1152,0,82000
6,1324,2,160000
5,1328,1,170000
5,884,2,144000
5,938,1,130250
5,1150,1,141000
9,1752,2,319900
7,2149,2,239686
8,1656,3,249700
4,1452,0,113000
5,955,1,127000
6,1470,2,177000
6,1176,2,114500
5,816,2,110000
9,1842,3,385000
5,1360,2,130000
6,1425,2,180500
8,1739,2,172500
7,1720,2,196500
10,2945,3,438780
5,780,1,124900
6,1158,2,158000
5,1111,1,101000
8,1370,2,202500
7,1710,2,140000
7,2034,2,219500
8,2473,3,317000
7,2207,2,180000
7,1479,2,226000
4,747,1,80000
7,2287,2,225000
7,2223,2,244000
4,845,2,129500
7,1718,2,185000
5,1086,2,144900
3,1605,1,107400
4,988,1,91000
4,952,1,135750
5,1285,1,127000
4,1768,0,136500
5,1230,2,110000
6,2142,1,193500
6,1337,2,153500
8,1563,3,245000
5,1065,2,126500
7,1474,2,168500
8,2417,2,260000
6,1560,2,174000
6,1224,2,164500
3,1526,0,85000
4,990,0,123600
4,1040,2,109900
5,1235,2,98600
5,964,2,163500
6,2291,2,133900
6,1786,2,204750
6,1470,2,185000
7,1588,2,214000
4,960,1,94750
5,835,1,83000
4,1225,0,128950
6,1610,2,205000
6,1732,2,178000
5,1535,2,118964
7,1226,3,198900
7,1818,1,169500
8,1992,2,250000
4,1047,1,100000
5,789,1,115000
5,1517,0,115000
6,1844,2,190000
6,1855,1,136900
7,1430,2,180000
7,2696,3,383970
6,2259,2,217000
6,2320,1,259500
6,1458,2,176000
5,1092,1,139000
5,1125,2,155000
7,3222,3,320000
6,1456,2,163990
6,988,2,180000
4,1123,1,100000
6,1080,1,136000
6,1199,2,153900
6,1586,2,181000
6,754,0,84500
6,958,2,128000
5,840,0,87000
6,1348,2,155000
5,1053,2,150000
7,2157,2,226000
6,2054,2,244000
5,1327,2,150750
8,1296,2,220000
5,1721,2,180000
7,1682,2,174000
5,1214,1,143000
7,1959,3,171000
8,1852,3,230000
6,1764,2,231500
4,864,0,115000
7,1734,2,260000
5,1385,2,166000
7,1501,2,204000
5,1728,2,125000
6,1709,2,130000
5,875,1,105000
7,2035,2,222500
7,1080,0,141000
5,1344,1,115000
5,969,2,122000
8,1710,3,372402
6,1993,2,190000
6,1252,2,235000
6,1200,1,125000
6,1096,0,79000
5,1040,2,109500
8,1968,3,269500
7,1947,2,254900
7,2462,2,320000
6,1232,2,162500
9,2668,3,412500
7,1541,2,220000
4,882,0,103200
6,1616,1,152000
5,1355,0,127500
5,1867,1,190000
8,2161,3,325624
7,1720,2,183500
8,1707,2,228000
5,1382,2,128500
6,1656,2,215000
7,1767,2,239000
6,1362,2,163000
6,1651,2,184000
6,2158,2,243000
6,2060,2,211000
5,1920,2,172500
9,2234,3,501837
5,968,2,100000
6,1525,2,177000
7,1802,1,200100
5,1340,1,120000
7,2082,2,200000
5,1252,2,127000
10,3608,3,475000
7,1217,2,173000
5,1656,1,135000
5,1224,2,153337
8,1593,2,286000
8,2727,2,315000
7,1479,2,184000
7,1431,2,192000
7,1709,2,130000
5,864,1,127000
6,1456,2,148500
7,1726,3,311872
8,3112,2,235000
6,2229,0,104000
8,1713,3,274900
4,1121,2,140000
6,1279,2,171500
6,1310,1,112000
6,848,2,149000
5,1284,1,110000
7,1442,2,180500
5,1696,1,143900
4,1100,1,141000
7,2062,2,277000
6,1092,2,145000
5,864,0,98000
6,1212,2,186000
7,1852,2,252678
5,990,2,156000
6,1392,1,161750
5,1236,1,134450
7,1436,2,210000
4,1328,1,107000
7,1954,2,311500
7,1248,2,167240
7,1498,2,204900
6,2267,2,200000
6,1552,2,179900
4,864,2,97000
10,2392,3,386250
5,1302,1,112000
7,2520,3,290000
6,987,1,106000
5,912,1,125000
7,1555,2,192500
6,1194,1,148000
8,2794,3,403000
6,987,1,94500
5,894,1,128200
6,1960,2,216500
6,987,1,89500
7,1414,2,185500
7,1744,2,194500
8,1694,3,318000
6,1487,1,113000
8,1566,2,262500
5,866,0,110500
5,1440,1,79000
6,1217,1,120000
7,2110,2,205000
7,1872,2,241500
6,1928,1,137000
6,1375,2,140000
7,1668,2,180000
6,2144,2,277000
3,1306,0,76500
8,1625,2,235000
6,1640,2,173000
6,1302,1,158000
5,1314,1,145000
7,2291,2,230000
6,1728,2,207500
7,1604,2,220000
7,1792,2,231500
5,882,1,97000
6,1382,2,176000
8,2574,3,276000
6,1212,2,151000
5,1316,2,130000
5,764,2,73000
6,1422,2,175500
